Year,Element,Prop
1961,Feed,0.25040623613782836
1961,Food,0.7495937638621716
1962,Feed,0.25321129856635616
1962,Food,0.7467887014336438
1963,Feed,0.2562823430246327
1963,Food,0.7437176569753673
1964,Feed,0.2613585240830703
1964,Food,0.7386414759169296
1965,Feed,0.26647355506563086
1965,Food,0.7335264449343692
1966,Feed,0.2703821758846739
1966,Food,0.729617824115326
1967,Feed,0.2708176467296954
1967,Food,0.7291823532703047
1968,Feed,0.27903158007183737
1968,Food,0.7209684199281626
1969,Feed,0.27719253684325784
1969,Food,0.7228074631567422
1970,Feed,0.277038647285121
1970,Food,0.7229613527148789
1971,Feed,0.2776098080041102
1971,Food,0.7223901919958898
1972,Feed,0.28146057145319114
1972,Food,0.7185394285468089
1973,Feed,0.28115657106574893
1973,Food,0.7188434289342511
1974,Feed,0.2704310097697789
1974,Food,0.7295689902302211
1975,Feed,0.26700769095987714
1975,Food,0.7329923090401228
1976,Feed,0.2694041192536785
1976,Food,0.7305958807463214
1977,Feed,0.2728827980560834
1977,Food,0.7271172019439166
1978,Feed,0.2767957827502205
1978,Food,0.7232042172497796
1979,Feed,0.27663013853051116
1979,Food,0.7233698614694889
1980,Feed,0.26857819635726554
1980,Food,0.7314218036427345
1981,Feed,0.26480587954724777
1981,Food,0.7351941204527522
1982,Feed,0.2654899018307958
1982,Food,0.7345100981692042
1983,Feed,0.26022886951808294
1983,Food,0.7397711304819171
1984,Feed,0.2661412011574028
1984,Food,0.7338587988425972
1985,Feed,0.26199537334369044
1985,Food,0.7380046266563095
1986,Feed,0.26079375945555905
1986,Food,0.7392062405444411
1987,Feed,0.25985255414187874
1987,Food,0.7401474458581212
1988,Feed,0.2501031415476845
1988,Food,0.7498968584523155
1989,Feed,0.24891979913600537
1989,Food,0.7510802008639947
1990,Feed,0.24947389476052037
1990,Food,0.7505261052394795
1991,Feed,0.24244333953056238
1991,Food,0.7575566604694375
1992,Feed,0.24001456710757482
1992,Food,0.7599854328924253
1993,Feed,0.23636006882452196
1993,Food,0.7636399311754781
1994,Feed,0.23159706259228
1994,Food,0.7684029374077201
1995,Feed,0.22213799928926728
1995,Food,0.7778620007107327
1996,Feed,0.2243443343500704
1996,Food,0.7756556656499296
1997,Feed,0.21782094382763706
1997,Food,0.7821790561723629
1998,Feed,0.21174269751332753
1998,Food,0.7882573024866725
1999,Feed,0.2091324203148385
1999,Food,0.7908675796851616
2000,Feed,0.21159720273279986
2000,Food,0.7884027972672001
2001,Feed,0.2127160495125221
2001,Food,0.7872839504874779
2002,Feed,0.20841468120013332
2002,Food,0.7915853187998666
2003,Feed,0.20583834404750764
2003,Food,0.7941616559524924
2004,Feed,0.2115512466786835
2004,Food,0.7884487533213166
2005,Feed,0.20552318648596873
2005,Food,0.7944768135140312
2006,Feed,0.19963025260071568
2006,Food,0.8003697473992843
2007,Feed,0.19867659295288664
2007,Food,0.8013234070471134
2008,Feed,0.20232504603438245
2008,Food,0.7976749539656175
2009,Feed,0.19520254115586666
2009,Food,0.8047974588441333
2010,Feed,0.1871437331262783
2010,Food,0.8128562668737217
2011,Feed,0.19019777086295675
2011,Food,0.8098022291370433
2012,Feed,0.18620591108054535
2012,Food,0.8137940889194547
2013,Feed,0.18711106104334224
2013,Food,0.8128889389566577
2014,Feed,0.18847937725294747
2014,Food,0.8115206227470525
2015,Feed,0.19506613718234014
2015,Food,0.8049338628176598
2016,Feed,0.19633387831423185
2016,Food,0.8036661216857681
2017,Feed,0.19767975097320808
2017,Food,0.802320249026792
2018,Feed,0.1931422276089369
2018,Food,0.806857772391063
2019,Feed,0.19839665725875105
2019,Food,0.8016033427412489
